File,Heading,Heading-Label,Chapter,Chapter-Label,Article,Article-Label,Item,Description,Year,Amount
2011.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-230,Stationary and Office Supplies,A-2300,Stationery and office supplies,2009,89927
2011.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-231,Miscellaneous Administrative Expenditure,A-2310,Bank charges,2009,2300
2011.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-231,Miscellaneous Administrative Expenditure,A-2311,Exchange-rate losses,2009,0
2011.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-233,Legal Expenditure and Damages,A-2330,Legal expenses,2009,0
2011.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-233,Legal Expenditure and Damages,A-2331,Damages and compensation,2009,0
2011.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-234,Auditing,A-2340,Miscellaneous insurance transportation of goods de,2009,0
2011.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-234,Auditing,A-2341,Uniforms and working clothes,2009,16000
2011.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-234,Auditing,A-2342,Translation services,2009,244278
2011.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-234,Auditing,A-2343,Official publications tender publications and repr,2009,48337
2011.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-234,Auditing,A-2344,Petty expenditure,2009,2000
2011.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-235,Security of Buildings and Persons,A-2350,Communication and information activities,2009,23494
2011.csv,A-2,Administrative Expenditure,A-24,Postal expenditure,A-240,Postal Expenditure,A-2400,Postal and delivery charges,2009,42000
2011.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-250,Management and Board Meetings,A-2500,Interpretation services and equipment,2009,178464
2011.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-250,Management and Board Meetings,A-2501,Travel and subsistence costs of delegates,2009,171000
2011.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-250,Management and Board Meetings,A-2502,Other expenditure,2009,66357
2011.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-251,Other Meetings and Visits,A-2510,Other meetings and visits,2009,193424
2011.csv,A-2,Administrative Expenditure,A-26,Auditing,A-260,Auditing,A-2600,Auditing,2009,9698
2011.csv,A-3,Operational Activities,A-30,Joint Operations,A-300,Operations and Pilot Projects: Land Borders,A-3000,Operations and pilot projects etc. land borders,2009,5779564
2011.csv,A-3,Operational Activities,A-30,Joint Operations,A-301,Operation and Pilot Projects: Sea borders,A-3010,Operations and pilot projects etc. sea borders,2009,3.43503E7
2011.csv,A-3,Operational Activities,A-30,Joint Operations,A-302,Operations and Pilot Projects: Air Borders,A-3020,Operations and pilot projects etc. air borders,2009,2623731
2011.csv,A-3,Operational Activities,A-30,Joint Operations,A-305,Return Cooperation,A-3050,Return co-operation,2009,5496268
2011.csv,A-3,Operational Activities,A-31,Risk analysis and situation center,A-310,Risk Analysis,A-3100,Risk analysis,2009,1933626
2011.csv,A-3,Operational Activities,A-31,Risk analysis and situation center,A-311,Frontex Situation Center,A-3110,FSC,2009,1525086
2011.csv,A-3,Operational Activities,A-32,Training,A-320,Training,A-3200,Training,2009,5426086
2011.csv,A-3,Operational Activities,A-33,Research and development ,A-330,Research and Development,A-3300,Research and development,2009,1313377
2011.csv,A-3,Operational Activities,A-34,Pooled Resources,A-340,Pooled Resources,A-3400,Pooled Resources network,2009,891811
2011.csv,A-3,Operational Activities,A-35,Miscellaneous Operational Activities,A-350,Miscellaneous Operational Activities,A-3500,Operational Missions not linked to a project,2009,150000
2011.csv,A-3,Operational Activities,A-35,Miscellaneous Operational Activities,A-351,Operational IT Activites,A-3510,IT services for Operational activities,2009,0
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,A-1100,Basic salary,2010,5336680
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,A-1101,Family allowances,2010,874697
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,A-1102,Expatriation and foreign-residence allowances,2010,1197793
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,A-1111,Contract staff,2010,1940000
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,A-1112,Seconded national experts,2010,3531050
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,A-1130,Insurance against sickness,2010,314743
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,A-1131,Insurance against accidents and occupational disea,2010,65679
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,A-1132,Insurance against unemployment,2010,123214
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,A-1140,Childbirth and death allowances and grants,2010,1586
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,A-1141,Travel expenses for annual leave,2010,201934
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-115,Overtime,A-1150,Overtime,2010,10736
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1180,Travel expenses on taking up duties and at end of,2010,8850
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1181,Installation resettlement and transfer allowances,2010,231229
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1182,Removal expenses for temporary agents,2010,54582
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1183,Temporary daily subsistence allowances for tempora,2010,120451
2012.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1185,Travel expenses at end of contract,2010,0
2012.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,A-1200,Translation and publication of notices,2010,26488
2012.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,A-1201,Travel and subsistence costs of applicants,2010,131500
2012.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,A-1202,Medical examinations,2010,16000
2012.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,A-1203,Other recruitment costs,2010,532
2012.csv,A-1,Staff,A-13,Administrative Missions,A-130,Administrative Missions,A-1300,Administrative missions,2010,620000
2012.csv,A-1,Staff,A-15,Other staff related expenses,A-150,Training and Information of Staff,A-1500,Training and information of staff,2010,252522
2012.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,A-1512,Supplementary clerical and interim services,2010,30897
2012.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,A-1513,Other external services including expenses for Com,2010,126940
2012.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-200,Rent,A-2000,Rent,2010,2092000
2012.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-201,Insurance,A-2010,Insurance,2010,7409
2012.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-202,"Water, Gas, Electricity and Heating",A-2020,Water gas electricity and heating,2010,90000
2012.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-203,Cleaning and Maintenance,A-2030,Cleaning and maintenance,2010,577248
2012.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-204,Furnishing of Premises,A-2040,Furnishing of premises,2010,372000
2012.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,A-2100,Purchase of data processing equipment,2010,2269475
2012.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,A-2101,Software,2010,1591872
2012.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,A-2102,Maintenance and repair of data processing equipmen,2010,919800
2012.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,A-2103,Consultancy and studies,2010,1657068
2012.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-211,Telecommunication,A-2110,Telecommunications subscriptions and charges,2010,523100
2012.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-220,Technical Equipment and Installations,A-2200,Technical equipment and installations,2010,256
2012.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-221,Furniture,A-2210,Furniture,2010,47192
2012.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,A-2230,Purchases and long-term lease of transport equipme,2010,15000
2012.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,A-2231,Maintenance use and repair and other expenditures,2010,3138
2012.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,A-2232,Car insurance,2010,3200
2012.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,A-2233,Fuel,2010,8000
2012.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-225,Documentation and Library Expenditure,A-2250,Documentation and library expenditure,2010,6225
2012.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-230,Stationary and Office Supplies,A-2300,Stationery and office supplies,2010,109014
2012.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-231,Miscellaneous Administrative Expenditure,A-2310,Translation services,2010,259030
2012.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-231,Miscellaneous Administrative Expenditure,A-2311,Petty expenditure,2010,2000
2012.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-231,Miscellaneous Administrative Expenditure,A-2312,Miscellaneous insurance transportation of goods de,2010,9200
2012.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-231,Miscellaneous Administrative Expenditure,A-2313,Health and safety at work,2010,78500
2012.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-232,Financial Charges,A-2320,Bank charges,2010,5000
2012.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-234,Auditing,A-2340,Auditing,2010,4995
2012.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-235,Security of Buildings and Persons,A-2350,Security equipment,2010,59825
2012.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-235,Security of Buildings and Persons,A-2351,Security services,2010,34826
2012.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-235,Security of Buildings and Persons,A-2352,Uniforms and working clothes,2010,12745
2012.csv,A-2,Administrative Expenditure,A-23,Current Administrative expenditure,A-236,Entertainment and Representation Expenses,A-2360,(D)ED representation & Entertainment,2010,21176
2012.csv,A-2,Administrative Expenditure,A-24,Postal expenditure,A-240,Postal Expenditure,A-2400,Postal and delivery charges,2010,82500
2012.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-250,Management and Board Meetings,A-2500,Interpretation services and equipment,2010,204398
2012.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-250,Management and Board Meetings,A-2501,Travel and subsistence costs of delegates,2010,130000
2012.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-250,Management and Board Meetings,A-2502,Other expenditure,2010,44222
2012.csv,A-2,Administrative Expenditure,A-25,Non-operational Meetings,A-251,Other Meetings and Visits,A-2510,Other meetings and visits,2010,511277
2012.csv,A-2,Administrative Expenditure,A-26,Auditing,A-260,Auditing,A-2600,Corporate Identity,2010,60362
2012.csv,A-2,Administrative Expenditure,A-26,Auditing,A-261,Internal Communications,A-2610,Social events,2010,31271
2012.csv,A-2,Administrative Expenditure,A-26,Auditing,A-262,Communication and Information,A-2620,Communication and information activities,2010,40000
2012.csv,A-2,Administrative Expenditure,A-26,Auditing,A-263,Official Publications,A-2630,Official publications/tender publications,2010,48337
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,,Temporary staff holding a post provided for in the establishment plan,2007,3612000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,,Temporary staff holding a post provided for in the establishment plan,2008,7630000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,A-1100,Basic salary,2007,2834000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,A-1100,Basic salary,2008,6226000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,A-1101,Family allowances,2007,339000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,A-1101,Family allowances,2008,633000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,A-1102,Expatriation and foreign-residence allowances,2007,439000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-110,Temporary Staff,A-1102,Expatriation and foreign-residence allowances,2008,771000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,,Other staff,2007,3494500
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,,Other staff,2008,4748000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,A-1110,Auxiliary staff,2007,309000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,A-1111,Contract staff,2007,733500
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,A-1111,Contract staff,2008,1408000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,A-1112,Seconded national experts,2007,2452000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-111,Other Staff,A-1112,Seconded national experts,2008,3340000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,,Employer's social security contributions for temporary agents,2007,192000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,,Employer's social security contributions for temporary agents,2008,351000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,A-1130,Insurance against sickness,2007,113000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,A-1130,Insurance against sickness,2008,212000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,A-1131,Insurance against accidents and occupational disease,2007,31000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,A-1131,Insurance against accidents and occupational disease,2008,54000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,A-1132,Insurance against unemployment,2007,48000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-113,Employers Social Security contributions for Temporary Staff,A-1132,Insurance against unemployment,2008,85000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,,Miscellaneous allowances and grants for temporary agents,2007,143000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,,Miscellaneous allowances and grants for temporary agents,2008,169000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,A-1140,Childbirth and death allowances and grants,2007,24000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,A-1140,Childbirth and death allowances and grants,2008,11000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,A-1141,Travel expenses for annual leave,2007,119000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-114,Miscellaneous allowances and grants for Temporary Staff,A-1141,Travel expenses for annual leave,2008,158000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,,Allowances and expenses on entering and leaving the service and on transfer,2007,780000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,,Allowances and expenses on entering and leaving the service and on transfer,2008,816000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1180,Travel expenses on taking up duties and at end of contract,2007,33000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1180,Travel expenses on taking up duties and at end of contract,2008,60000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1181,"Installation, resettlement and transfer allowances for temporary agents",2007,333000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1181,"Installation, resettlement and transfer allowances for temporary agents",2008,354000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1182,Removal expenses for temporary agents,2007,139000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1182,Removal expenses for temporary agents,2008,135000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1183,Temporary daily subsistence allowances for temporary agents,2007,275000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-118,Allowances and expenses on Entering or leaving service,A-1183,Temporary daily subsistence allowances for temporary agents,2008,267000
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-119,Salary Weightings,,Salary weightings    p.m.   Staff Regulations of Officials of the European CommunitiesEstimate correction coefficient for Jan-Jun 80%; Jul-Dec 84%. Chapter 1 1 — Total,2007,8221500
2008.csv,A-1,Staff,A-11,Staff in Active Employment,A-119,Salary Weightings,,Salary weightings    p.m.   Staff Regulations of Officials of the European CommunitiesEstimate correction coefficient for Jan-Jun 80%; Jul-Dec 84%. Chapter 1 1 — Total,2008,1.2488E7
2008.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,,Recruitment,2007,225000
2008.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,,Recruitment,2008,306000
2008.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,A-1200,Translation and publication of notices,2007,7000
2008.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,A-1200,Translation and publication of notices,2008,26000
2008.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,A-1201,Travel and subsitence costs of applicants,2007,193000
2008.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,A-1201,Travel and subsitence costs of applicants,2008,240000
2008.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,A-1202,Medical examinations,2007,18000
2008.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,A-1202,Medical examinations,2008,24000
2008.csv,A-1,Staff,A-12,Recruitment,A-120,Recruitment,A-1203,Other recruitment costs,2007,7000
2008.csv,A-1,Staff,A-13,Administrative Missions,A-130,Administrative Missions,,Administrative missions,2007,290000
2008.csv,A-1,Staff,A-13,Administrative Missions,A-130,Administrative Missions,,Administrative missions,2008,465000
2008.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-141,Medical Service,,Medical service,2007,15000
2008.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-141,Medical Service,,Medical service,2008,38000
2008.csv,A-1,Staff,A-14,Sociomedical Infrastructure,A-143,Other Expenditure,,Other expenditure,2007,1000
2008.csv,A-1,Staff,A-15,Other staff related expenses,A-150,Training and Information of Staff,,Training and information of staff,2007,180000
2008.csv,A-1,Staff,A-15,Other staff related expenses,A-150,Training and Information of Staff,,Training and information of staff,2008,230000
2008.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,,Supplementary services,2007,361000
2008.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,,Supplementary services,2008,155000
2008.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,A-1510,Translation and interpretation services,2007,284000
2008.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,A-1510,Translation and interpretation services,2008,40000
2008.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,A-1512,Supplementary clerical and interim services,2008,40000
2008.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,A-1513,Other external services including expenses for Commission management costs,2007,77000
2008.csv,A-1,Staff,A-15,Other staff related expenses,A-151,Supplementary Services,A-1513,Other external services including expenses for Commission management costs,2008,75000
2008.csv,A-1,Staff,A-16,Social Welfare,A-160,Special Assistance Grants,,Special assistance grants    p.m.  ,2008,2000
2008.csv,A-1,Staff,A-16,Social Welfare,A-161,Social Events,,Social events,2007,24000
2008.csv,A-1,Staff,A-16,Social Welfare,A-161,Social Events,,Social events,2008,49000
2008.csv,A-1,Staff,A-17,Entertainment and Representation expenses,A-170,Entertainment and Representation Expenses,,Entertainment and representation expenses,2007,70000
2008.csv,A-1,Staff,A-17,Entertainment and Representation expenses,A-170,Entertainment and Representation Expenses,,Entertainment and representation expenses,2008,125000
2008.csv,A-1,Staff,A-17,Entertainment and Representation expenses,A-170,Entertainment and Representation Expenses,A-1700,General,2007,45000
2008.csv,A-1,Staff,A-17,Entertainment and Representation expenses,A-170,Entertainment and Representation Expenses,A-1700,General,2008,75000
2008.csv,A-1,Staff,A-17,Entertainment and Representation expenses,A-170,Entertainment and Representation Expenses,A-1701,Corporate Identity,2007,25000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-200,Rent,,Rent,2007,1150000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-200,Rent,,Rent,2008,2165000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-201,Insurance,,Insurance,2007,5500
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-201,Insurance,,Insurance,2008,11000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-202,"Water, Gas, Electricity and Heating",,"Water, gas, electricity and heating",2007,40000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-202,"Water, Gas, Electricity and Heating",,"Water, gas, electricity and heating",2008,100000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-203,Cleaning and Maintenance,,Cleaning and maintenance,2007,45000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-203,Cleaning and Maintenance,,Cleaning and maintenance,2008,85000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-203,Cleaning and Maintenance,A-2030,Cleaning and maintenance,2007,45000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-203,Cleaning and Maintenance,A-2030,Cleaning and maintenance,2008,85000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-204,Furnishing of Premises,,Furnishing of premises,2007,150000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-204,Furnishing of Premises,,Furnishing of premises,2008,50000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-205,Security of Buildings and Persons,,Security of buildings and persons,2007,150000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-205,Security of Buildings and Persons,,Security of buildings and persons,2008,250000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-205,Security of Buildings and Persons,A-2050,Security equipment,2007,150000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-205,Security of Buildings and Persons,A-2050,Security equipment,2008,100000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-205,Security of Buildings and Persons,A-2051,Security servicesp.m.    p.m.  ,2008,150000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-208,Other Expenditure,,Expenditure preliminary to the rental of immovable property,2007,8000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-209,Other Expenditure,,Other expenditure    p.m.  ,2007,2000
2008.csv,A-2,Administrative Expenditure,A-20,Rental of Buildings,A-209,Other Expenditure,,Other expenditure    p.m.  ,2008,1548500
2008.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,,Costs of equipment and data-processing related expenditure,2007,2024500
2008.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,,Costs of equipment and data-processing related expenditure,2008,1045000
2008.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,A-2100,Purchase of data processing equipment,2007,1295000
2008.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,A-2100,Purchase of data processing equipment,2008,360000
2008.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,A-2101,Software,2007,472000
2008.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,A-2101,Software,2008,350000
2008.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,A-2102,Maintenance and repair of data processing equipment,2007,188000
2008.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,A-2102,Maintenance and repair of data processing equipment,2008,215000
2008.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,A-2103,Consultancy and studies,2007,69500
2008.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,A-2103,Consultancy and studies,2008,120000
2008.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,A-2104,Other data processing expenditurep.m.    p.m.  Chapter 2 1 — Total,2007,2024500
2008.csv,A-2,Administrative Expenditure,A-21,Data Processing and Telecommunication,A-210,Costs of Equipment and Data Processing Related Expenditure,A-2104,Other data processing expenditurep.m.    p.m.  Chapter 2 1 — Total,2008,1045000
2008.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-220,Technical Equipment and Installations,,Technical equipment and installationsp.m.,2008,10000
2008.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-221,Furniture,,Furniture,2007,300000
2008.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-221,Furniture,,Furniture,2008,58000
2008.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,,Transport equipment,2007,120000
2008.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,,Transport equipment,2008,29000
2008.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,A-2230,Purchases and long-term lease of transport equipment,2007,95000
2008.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,A-2231,"Maintenance, use and repair and other expenditures of transport equipmentp.m.",2008,10000
2008.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,A-2232,Car insurancep.m.,2008,6000
2008.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,A-2233,Fuel,2007,25000
2008.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-223,Transport Equipment,A-2233,Fuel,2008,13000
2008.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-225,Documentation and Library Expenditure,,Documentation and library expenditure,2007,6000
2008.csv,A-2,Administrative Expenditure,A-22,Movable Property,A-225,Documentation and Library Expenditure,,Documentation and library expenditure,2008,10000
